[15:50:15] [INFO] received Windows console close event; shutting log-core down
[16:14:25] [INFO] received Windows console close event; shutting log-core down
[17:52:14] [INFO] received Windows console close event; shutting log-core down
[18:00:56] [INFO] received Windows console close event; shutting log-core down
[21:17:47] [INFO] received Windows console close event; shutting log-core down
[19:24:30] [INFO] received Windows console close event; shutting log-core down
[21:57:12] [INFO] received Windows console close event; shutting log-core down
[10:58:44] [INFO] received Windows console close event; shutting log-core down
[13:53:19] [INFO] received Windows console close event; shutting log-core down
[17:43:30] [INFO] received Windows console close event; shutting log-core down
[00:17:56] [INFO] received Windows console close event; shutting log-core down
[11:15:49] [INFO] received Windows console close event; shutting log-core down
[19:17:53] [INFO] received Windows console close event; shutting log-core down
[22:21:22] [INFO] received Windows console close event; shutting log-core down
[09:31:49] [INFO] received Windows console close event; shutting log-core down
